Hamburger,Cheeseburger,Veggie Burger,Hot Dog,Chicken Sandwich,Fries,Onion Rings,Salad,Pizza Slice,Nachos,Ice Cream,Cupcake,Cookie,Candy,Popcorn,Soft Drink,Water,Juice,Coffee,Tea,Milkshake,Smoothie,Beer,Wine,Cocktail,Pretzel,Churros,Cotton Candy,Corn Dog,Tacos
0,0,2,0,1,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0
0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,3,1,1,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,1,0
0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0,0,3,1,0,0,0,2,1,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1
0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0
0,0,3,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,1,0
0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,3,2,1,0,1,0,0,0,0,0,1,0,0,1
0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,0,1,2,0,1,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0
0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1
0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0
0,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,1,3,0,1,0,1,0,0,0,1,1,1,0,0
0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,0,1,3,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,1,0
0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,1,3,0,0,1,0,0,0,0,1,1,3,0,1,1,1,0,0,0,0,1,0,0,0
0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,0,1,0,0,3,1,1,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,1,0,0,0
0,0,3,1,0,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,1,1
0,1,3,0,0,0,0,1,1,0,0,1,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,3,1,0,0,0,3,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0
0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,3,0,1,0,0,2,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0
0,0,3,0,0,0,0,2,1,0,0,0,1,0,1,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,3,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0
0,0,2,1,0,0,1,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0
0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,3,1,0,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,1,1
0,0,3,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0
0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,2,0,0,0,1,3,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
0,0,2,0,1,0,1,2,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0
0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,1,3,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,1
0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0
0,0,2,0,0,0,0,3,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
0,0,2,1,0,0,0,3,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,1,1,0,1,0
0,0,1,1,1,0,0,3,0,0,0,1,1,0,0,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0
0,0,3,1,0,0,0,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,0,1,3,0,1,0,1,0,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0
0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,1,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0
0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
0,1,3,1,0,0,0,2,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0
0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,3,3,0,1,0,0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,3,0,1,1,1,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1
0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,3,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,3,1,1,0,0,1,0,0,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,1
0,0,0,0,0,1,0,0,1,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,1,0
0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,1,0,3,1,0,0,1,1,1,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,3,2,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,0,0,1,3,2,0,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,1,0,3,2,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,1,0,0,0,0,2,3,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,1,1,2,2,0,1,0,0,0,0,1,0,0,0
1,1,0,1,0,0,1,0,1,0,0,3,3,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,2,3,1,1,0,1,0,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,2,3,0,1,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,1,1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,0,3,1,0,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,1,0,0,0,2,2,1,0,0,0,0,1,3,1,1,1,1,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,2,1,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1,0,1,3,1,0,0,0,1,0,3,3,0,0,1,1,0,0,0,0,1,0
1,0,1,1,1,0,1,1,0,0,1,3,3,1,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,1,3,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,3,2,1,0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,1,0,0,1,1,0,0,0,0,1
0,0,0,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,1,1,3,0,0,0,0,0,3,2,1,0,1,1,0,0,1,0,1,0
0,0,1,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,2,3,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,3,3,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1,3,1,0,1,0,0,0,2,1,0,1,1,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,2,3,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,1,3,1,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,2,3,1,1,0,0,1,0,1,0,0,0
0,0,0,0,1,1,0,1,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,1,0,1,1,3,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,1,0
0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,3,3,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,3,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0
0,0,1,1,1,0,0,1,0,0,1,1,2,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0,1,3,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
